Story ID,Prediction,Rationale
95,1,Consistent (score: 0.20)
136,1,Consistent (score: 0.00)
59,1,Consistent (score: 0.00)
60,1,Consistent (score: 0.15)
124,1,Consistent (score: 0.15)
111,1,Consistent (score: 0.00)
135,1,Consistent (score: 0.00)
27,0,Inconsistent: Unsupported: after
110,1,Consistent (score: 0.15)
42,1,Consistent (score: 0.20)
56,0,Inconsistent: Unsupported: after
80,1,Consistent (score: 0.00)
28,1,Consistent (score: 0.00)
101,1,Consistent (score: 0.00)
91,1,Consistent (score: 0.00)
24,1,Consistent (score: 0.35)
119,1,Consistent (score: 0.20)
93,1,Consistent (score: 0.20)
72,1,Consistent (score: 0.00)
16,1,Consistent (score: 0.15)
30,1,Consistent (score: 0.20)
97,1,Consistent (score: 0.20)
22,1,Consistent (score: 0.00)
53,0,Inconsistent: Unverified event
58,1,Consistent (score: 0.20)
81,1,Consistent (score: 0.20)
47,1,Consistent (score: 0.20)
7,0,Inconsistent: Unsupported: after
121,1,Consistent (score: 0.20)
129,1,Consistent (score: 0.00)
51,1,Consistent (score: 0.20)
127,1,Consistent (score: 0.00)
133,1,Consistent (score: 0.00)
52,1,Consistent (score: 0.20)
114,1,Consistent (score: 0.00)
2,1,Consistent (score: 0.00)
33,1,Consistent (score: 0.20)
15,1,Consistent (score: 0.00)
82,0,Inconsistent: Unverified event
37,1,Consistent (score: 0.00)
3,1,Consistent (score: 0.00)
103,1,Consistent (score: 0.20)
94,1,Consistent (score: 0.20)
85,1,Consistent (score: 0.00)
21,1,Consistent (score: 0.35)
49,1,Consistent (score: 0.00)
140,1,Consistent (score: 0.00)
64,1,Consistent (score: 0.15)
131,1,Consistent (score: 0.15)
61,1,Consistent (score: 0.15)
86,1,Consistent (score: 0.20)
38,1,Consistent (score: 0.00)
132,1,Consistent (score: 0.00)
77,1,Consistent (score: 0.00)
70,0,Inconsistent: Unsupported: after
115,1,Consistent (score: 0.00)
78,0,Inconsistent: Negation: never forgot the sound of flesh
87,1,Consistent (score: 0.20)
75,1,Consistent (score: 0.00)
44,1,Consistent (score: 0.00)
